Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p53152_ub,p53152_ub,,100.0,0.0,0.82
p53152_ub_h35,p53152_ub,A0A6B2G4L1,34.65,65.35,0.2
p53152_ub_h40,p53152_ub,A0A2S4UF32,39.2,60.8,0.14
p53152_ub_h45,p53152_ub,A0A8V5FRH4,43.42,56.58,0.87
p53152_ub_h50,p53152_ub,Q7M767,49.23,50.77,0.8
p53152_ub_h55,p53152_ub,M9MJ71,52.53,47.47,0.87
p53152_ub_h60,p53152_ub,A0A9W7W4D0,58.67,41.33,0.83
p53152_ub_h65,p53152_ub,Q4WQ99,64.89,35.11,0.83
p53152_ub_h70,p53152_ub,A0A074YNE4,68.18,31.819999999999993,0.82
p53152_ub_h75,p53152_ub,A0A1E3NQC7,72.73,27.269999999999996,0.81
p53152_ub_h85,p53152_ub,I2GV39,80.3,19.700000000000003,0.78
