Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p15731_ub,p15731_ub,,100.0,0.0,0.75
p15731_ub_h35,p15731_ub,A0A9J5YCI3,34.29,65.71000000000001,0.27
p15731_ub_h60,p15731_ub,F4I5B8,59.57,40.43,0.26
p15731_ub_h65,p15731_ub,A0A7N5KFL8,63.28,36.72,0.77
p15731_ub_h70,p15731_ub,V5FUI0,69.01,30.989999999999995,0.65
p15731_ub_h75,p15731_ub,A0A8H3I9Q8,72.96,27.040000000000006,0.57
p15731_ub_h80,p15731_ub,A0A9W8F8N9,79.86,20.14,0.7
p15731_ub_h85,p15731_ub,A0A063BWV0,84.72,15.280000000000001,0.3
p15731_ub_h90,p15731_ub,A0A1E3NT98,86.3,13.700000000000003,0.79
p15731_ub_h95,p15731_ub,P15732,92.57,7.430000000000007,0.32
