Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p39967_ub,p39967_ub,,100.0,0.0,0.96
p39967_ub_h30,p39967_ub,A0A7S4CH11,28.48,71.52,0.9
p39967_ub_h35,p39967_ub,A0A9P7GRX0,34.59,65.41,0.96
p39967_ub_h40,p39967_ub,A0A8X7MTK3,37.91,62.09,0.96
p39967_ub_h45,p39967_ub,A0A1E4TKW3,44.08,55.92,0.96
p39967_ub_h50,p39967_ub,A0A9W6WIW5,46.0,54.0,0.97
p39967_ub_h55,p39967_ub,G8C248,53.1,46.9,0.96
p39967_ub_h60,p39967_ub,Q6FQK5,59.03,40.97,0.97
p39967_ub_h65,p39967_ub,G0VFR4,64.0,36.0,0.96
p39967_ub_h70,p39967_ub,A0AAN7ZXN7,67.57,32.43000000000001,0.96
p39967_ub_h75,p39967_ub,G0V945,74.83,25.17,0.96
p39967_ub_h80,p39967_ub,P38187,79.31,20.689999999999998,0.97
