Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p38207_ub,p38207_ub,,100.0,0.0,0.83
p38207_ub_h25,p38207_ub,A0AAN8XSW7,24.08,75.92,0.2
p38207_ub_h30,p38207_ub,A0A9P6KB66,29.37,70.63,0.16
p38207_ub_h35,p38207_ub,A0A1D2VQ49,34.67,65.33,0.68
p38207_ub_h40,p38207_ub,A0A1B7TIY6,39.85,60.15,0.28
p38207_ub_h45,p38207_ub,K0KHG6,42.93,57.07,0.54
p38207_ub_h50,p38207_ub,A0A1E5RVZ2,47.09,52.91,0.26
p38207_ub_h55,p38207_ub,R9XHV7,54.89,45.11,0.22
p38207_ub_h60,p38207_ub,A0A1G4J1T3,56.62,43.38,0.18
p38207_ub_h85,p38207_ub,H0GR30,83.25,16.75,0.69
