Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q06336_ub,q06336_ub,,100.0,0.0,0.91
q06336_ub_h25,q06336_ub,A0A2N1J8J4,24.0,76.0,0.3
q06336_ub_h30,q06336_ub,UPI003752093E,29.09,70.91,0.75
q06336_ub_h35,q06336_ub,A0AAN7W6A6,33.48,66.52000000000001,0.86
q06336_ub_h40,q06336_ub,A0A1X2HK04,39.42,60.58,0.88
q06336_ub_h45,q06336_ub,A0A8H7R4E9,43.32,56.68,0.89
q06336_ub_h50,q06336_ub,A0A9P5FZE9,49.51,50.49,0.91
q06336_ub_h55,q06336_ub,Q6C7L1,52.94,47.06,0.91
q06336_ub_h60,q06336_ub,A0A1E3NHP2,58.67,41.33,0.91
q06336_ub_h65,q06336_ub,A0A1E3P6I8,63.0,37.0,0.91
q06336_ub_h70,q06336_ub,I2GWE7,66.5,33.5,0.86
q06336_ub_h75,q06336_ub,P38817,71.29,28.709999999999994,0.88
