Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p15703_ub,p15703_ub,,100.0,0.0,0.79
p15703_ub_h25,p15703_ub,A0A937ZJ41,24.72,75.28,0.24
p15703_ub_h30,p15703_ub,A0A367K7S2,29.79,70.21000000000001,0.35
p15703_ub_h35,p15703_ub,V6R5G9,34.72,65.28,0.26
p15703_ub_h40,p15703_ub,D4B2W4,39.2,60.8,0.23
p15703_ub_h45,p15703_ub,A0A1B8GUQ0,44.56,55.44,0.28
p15703_ub_h50,p15703_ub,A0A3N4HPZ8,46.51,53.49,0.78
p15703_ub_h60,p15703_ub,A0A642V568,59.32,40.68,0.81
p15703_ub_h65,p15703_ub,Q5AMT2,64.41,35.59,0.76
p15703_ub_h70,p15703_ub,A0AAD5BCD1,67.49,32.510000000000005,0.71
