Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p03877_ub,p03877_ub,,100.0,0.0,0.83
p03877_ub_h25,p03877_ub,UPI0022384F31,24.61,75.39,0.31
p03877_ub_h30,p03877_ub,A0A221C8Z9,28.8,71.2,0.45
p03877_ub_h35,p03877_ub,A0A6G9KB83,33.15,66.85,0.54
p03877_ub_h40,p03877_ub,A0A343AWN4,39.44,60.56,0.23
p03877_ub_h45,p03877_ub,A0A1V1FWV4,44.2,55.8,0.27
p03877_ub_h50,p03877_ub,S5TE80,45.99,54.01,0.23
p03877_ub_h55,p03877_ub,S5TFF6,50.99,49.01,0.39
p03877_ub_h75,p03877_ub,A0A2D0W3T6,70.81,29.189999999999998,0.39
p03877_ub_h85,p03877_ub,A0A0H3WJ97,84.48,15.519999999999996,0.41
