Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p25344_ub,p25344_ub,,100.0,0.0,0.85
p25344_ub_h30,p25344_ub,A0AAD5YSU4,27.85,72.15,0.33
p25344_ub_h35,p25344_ub,A0A0C3BL71,34.15,65.85,0.27
p25344_ub_h40,p25344_ub,A0A9P4U0U1,39.77,60.23,0.26
p25344_ub_h45,p25344_ub,A0AB34L1F4,44.21,55.79,0.63
p25344_ub_h50,p25344_ub,A0A1E3NER6,48.31,51.69,0.51
p25344_ub_h55,p25344_ub,A0A099NQU2,54.76,45.24,0.31
p25344_ub_h60,p25344_ub,A0A1E3R0U7,55.56,44.44,0.2
p25344_ub_h65,p25344_ub,A0AAW0FLQ7,61.9,38.1,0.35
p25344_ub_h70,p25344_ub,A0A0V1PT58,65.88,34.120000000000005,0.33
p25344_ub_h75,p25344_ub,A0AAN7WMG5,71.74,28.260000000000005,0.77
p25344_ub_h80,p25344_ub,J7RW15,79.35,20.650000000000006,0.69
p25344_ub_h85,p25344_ub,G0VAU1,82.98,17.019999999999996,0.44
p25344_ub_h90,p25344_ub,G0W313,86.05,13.950000000000003,0.4
