Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p53874_ub,p53874_ub,,100.0,0.0,0.96
p53874_ub_h25,p53874_ub,A0AAD5XM36,24.88,75.12,0.95
p53874_ub_h30,p53874_ub,A0A1E3Q4C7,29.26,70.74,0.97
p53874_ub_h35,p53874_ub,A0A2T0FDV1,34.94,65.06,0.96
p53874_ub_h45,p53874_ub,A0A642V841,41.4,58.6,0.95
p53874_ub_h50,p53874_ub,A0A4P6XSU7,49.87,50.13,0.96
p53874_ub_h55,p53874_ub,A0AAV5QFX1,54.06,45.94,0.96
p53874_ub_h60,p53874_ub,A0A376B856,56.22,43.78,0.97
p53874_ub_h65,p53874_ub,G0WCZ8,62.74,37.26,0.96
p53874_ub_h75,p53874_ub,G8ZLE8,73.93,26.069999999999993,0.96
