Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p33324_ub,p33324_ub,,100.0,0.0,0.72
p33324_ub_h30,p33324_ub,K5VJH2,29.0,71.0,0.15
p33324_ub_h35,p33324_ub,A0A0D2JZ73,34.76,65.24000000000001,0.4
p33324_ub_h40,p33324_ub,A0A177WDK1,35.62,64.38,0.19
p33324_ub_h45,p33324_ub,A0AAF0J4B1,44.19,55.81,0.36
p33324_ub_h50,p33324_ub,A0A1J9PVR6,49.77,50.23,0.18
p33324_ub_h55,p33324_ub,A0A1E4TET1,54.26,45.74,0.35
p33324_ub_h60,p33324_ub,P45816,58.67,41.33,0.25
p33324_ub_h65,p33324_ub,P24280,64.63,35.370000000000005,0.26
p33324_ub_h70,p33324_ub,G0VGE7,65.35,34.650000000000006,0.19
