Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p40480_ub,p40480_ub,,100.0,0.0,0.73
p40480_ub_h25,p40480_ub,A0A2J7RQU6,24.73,75.27,0.38
p40480_ub_h30,p40480_ub,A0A4S2MPN4,29.31,70.69,0.49
p40480_ub_h35,p40480_ub,A0A0H5C3R8,34.31,65.69,0.3
p40480_ub_h40,p40480_ub,A0A5E8C5R3,39.56,60.44,0.79
p40480_ub_h45,p40480_ub,A0A1E3NX81,41.09,58.91,0.57
p40480_ub_h50,p40480_ub,A0AAV5RYR1,49.1,50.9,0.61
p40480_ub_h55,p40480_ub,A0AAN7WM09,51.76,48.24,0.61
p40480_ub_h60,p40480_ub,A0A0W0C8I1,57.1,42.9,0.6
p40480_ub_h65,p40480_ub,G8ZS01,63.58,36.42,0.71
