Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p47976_ub,p47976_ub,,100.0,0.0,0.79
p47976_ub_h40,p47976_ub,A0AB34IRN7,39.18,60.82,0.38
p47976_ub_h45,p47976_ub,A0A1Y1L5E8,44.33,55.67,0.18
p47976_ub_h50,p47976_ub,A0A7R9G9R8,45.16,54.84,0.3
p47976_ub_h55,p47976_ub,A0A9Q1HN10,50.0,50.0,0.27
p47976_ub_h65,p47976_ub,A0A1E5RVN6,61.7,38.3,0.37
p47976_ub_h70,p47976_ub,A0A120K135,69.62,30.379999999999995,0.49
p47976_ub_h75,p47976_ub,G8JTH3,74.68,25.319999999999993,0.76
p47976_ub_h80,p47976_ub,A0A7G3ZEM0,76.83,23.17,0.68
p47976_ub_h85,p47976_ub,G8BMV6,82.28,17.72,0.44
