Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p40537_ub,p40537_ub,,100.0,0.0,0.89
p40537_ub_h25,p40537_ub,UPI0031F37582,24.55,75.45,0.6
p40537_ub_h30,p40537_ub,A0A9P8Q0N3,29.94,70.06,0.56
p40537_ub_h35,p40537_ub,A0A1E5R0W6,33.51,66.49000000000001,0.58
p40537_ub_h40,p40537_ub,K0KV35,39.62,60.38,0.59
p40537_ub_h45,p40537_ub,A7TQQ3,43.55,56.45,0.49
p40537_ub_h50,p40537_ub,W0TE48,48.4,51.6,0.74
p40537_ub_h55,p40537_ub,A0A7G3ZFJ0,52.19,47.81,0.83
p40537_ub_h60,p40537_ub,G8ZZR5,57.01,42.99,0.84
p40537_ub_h65,p40537_ub,A0A1Q3AET5,62.54,37.46,0.73
