Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q06287_ub,q06287_ub,,100.0,0.0,0.88
q06287_ub_h30,q06287_ub,A0A0S4IWL3,28.38,71.62,0.52
q06287_ub_h35,q06287_ub,A0A834LB76,34.53,65.47,0.29
q06287_ub_h40,q06287_ub,A0A8S1U4C0,39.35,60.65,0.5
q06287_ub_h45,q06287_ub,A0A813FC58,43.42,56.58,0.19
q06287_ub_h50,q06287_ub,Q9W4J5,48.64,51.36,0.32
q06287_ub_h55,q06287_ub,A0A2H9TNB5,54.59,45.41,0.27
q06287_ub_h60,q06287_ub,A0A060SPU6,56.64,43.36,0.3
q06287_ub_h65,q06287_ub,A0A316UT11,61.9,38.1,0.11
q06287_ub_h70,q06287_ub,M2LZF2,69.3,30.700000000000003,0.11
q06287_ub_h75,q06287_ub,M3AJH9,71.43,28.569999999999993,0.1
q06287_ub_h85,q06287_ub,A0A1L0B1A5,82.46,17.540000000000006,0.79
q06287_ub_h90,q06287_ub,W6MK26,85.97,14.030000000000001,0.19
