Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q06266_ub,q06266_ub,,100.0,0.0,0.92
q06266_ub_h30,q06266_ub,A0AAN6KPE1,29.71,70.28999999999999,0.71
q06266_ub_h35,q06266_ub,F8MHW0,34.78,65.22,0.74
q06266_ub_h40,q06266_ub,A0A3A2Z578,38.76,61.24,0.59
q06266_ub_h45,q06266_ub,W6MP76,44.25,55.75,0.93
q06266_ub_h50,q06266_ub,J7R2X4,48.21,51.79,0.89
q06266_ub_h55,q06266_ub,A0A9P8Q147,53.39,46.61,0.92
q06266_ub_h60,q06266_ub,Q04383,59.43,40.57,0.92
q06266_ub_h65,q06266_ub,A0AAN7ZXQ8,61.34,38.66,0.86
q06266_ub_h70,q06266_ub,G0VAS4,68.6,31.400000000000006,0.93
