Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p38753_ub,p38753_ub,,100.0,0.0,0.93
p38753_ub_h25,p38753_ub,A0A3Q1BI19,24.82,75.18,0.56
p38753_ub_h30,p38753_ub,A0A507D1Q9,29.86,70.14,0.54
p38753_ub_h35,p38753_ub,A0A433QG50,32.62,67.38,0.72
p38753_ub_h40,p38753_ub,W6MF81,39.74,60.26,0.63
p38753_ub_h45,p38753_ub,A0A5E8BJS3,43.42,56.58,0.86
p38753_ub_h50,p38753_ub,A0A1E5RHT4,45.86,54.14,0.91
p38753_ub_h55,p38753_ub,I2GZ24,53.5,46.5,0.95
p38753_ub_h60,p38753_ub,Q75DS3,59.59,40.41,0.85
p38753_ub_h65,p38753_ub,A0A7G3ZAS9,62.0,38.0,0.94
p38753_ub_h70,p38753_ub,H2AUD4,66.44,33.56,0.84
p38753_ub_h75,p38753_ub,G0WHZ3,70.21,29.790000000000006,0.86
