Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p54000_ub,p54000_ub,,100.0,0.0,0.78
p54000_ub_h35,p54000_ub,UPI0030E4F2B9,34.67,65.33,0.09
p54000_ub_h40,p54000_ub,A0A0D2DJR3,37.93,62.07,0.11
p54000_ub_h45,p54000_ub,A0AA40BUK4,42.11,57.89,0.38
p54000_ub_h50,p54000_ub,A0A0V1PVN0,48.19,51.81,0.38
p54000_ub_h55,p54000_ub,A0A1E4TW42,50.65,49.35,0.15
p54000_ub_h60,p54000_ub,UPI0022257176,56.16,43.84,0.67
p54000_ub_h70,p54000_ub,A0A1E5RI50,66.67,33.33,0.71
p54000_ub_h80,p54000_ub,A0A0C7MVD5,78.57,21.430000000000007,0.77
p54000_ub_h85,p54000_ub,A0A1G4MEV4,82.72,17.28,0.17
p54000_ub_h90,p54000_ub,H2AMS1,89.41,10.590000000000003,0.15
p54000_ub_h95,p54000_ub,A0A7H9B1B5,90.59,9.409999999999997,0.32
