Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q12003_ub,q12003_ub,,100.0,0.0,0.7
q12003_ub_h25,q12003_ub,A0A016S3T7,23.39,76.61,0.79
q12003_ub_h30,q12003_ub,A0A7D8UKR7,29.15,70.85,0.18
q12003_ub_h35,q12003_ub,A0AAD9FRX6,34.55,65.45,0.24
q12003_ub_h40,q12003_ub,W6MPI8,39.62,60.38,0.25
q12003_ub_h45,q12003_ub,G0WCE2,43.91,56.09,0.36
q12003_ub_h50,q12003_ub,A0A1X7R7B3,49.19,50.81,0.32
q12003_ub_h55,q12003_ub,C5E292,52.0,48.0,0.35
q12003_ub_h60,q12003_ub,J7R4R5,55.78,44.22,0.36
q12003_ub_h65,q12003_ub,A0A4C2EFV3,64.14,35.86,0.15
