Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p43588_ub,p43588_ub,,100.0,0.0,0.81
p43588_ub_h35,p43588_ub,W6MXG0,33.33,66.67,0.9
p43588_ub_h40,p43588_ub,A0A8H7BDP5,38.38,61.62,0.94
p43588_ub_h45,p43588_ub,A0A1J4JIZ7,44.93,55.07,0.9
p43588_ub_h50,p43588_ub,V6LPQ7,46.39,53.61,0.83
p43588_ub_h55,p43588_ub,F2HHI1,52.91,47.09,0.8
p43588_ub_h60,p43588_ub,D8M8S9,57.81,42.19,0.83
p43588_ub_h65,p43588_ub,A0A8S1R5Y1,61.98,38.02,0.49
p43588_ub_h70,p43588_ub,C4M1W8,69.43,30.569999999999993,0.84
p43588_ub_h75,p43588_ub,A0A1J5XEL8,73.58,26.42,0.75
p43588_ub_h80,p43588_ub,A0AAN5IGL8,79.9,20.099999999999994,0.81
p43588_ub_h85,p43588_ub,A0A0L0HDS9,80.3,19.700000000000003,0.8
p43588_ub_h90,p43588_ub,Q750E9,89.18,10.819999999999993,0.81
