Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p32571_ub,p32571_ub,,100.0,0.0,0.95
p32571_ub_h30,p32571_ub,A0A1Z5SMJ3,29.55,70.45,0.96
p32571_ub_h35,p32571_ub,A0AAV5RXT4,34.95,65.05,0.95
p32571_ub_h40,p32571_ub,M5G0K2,39.41,60.59,0.96
p32571_ub_h45,p32571_ub,A5E220,44.67,55.33,0.94
p32571_ub_h50,p32571_ub,A0A1E3PS26,49.73,50.27,0.96
p32571_ub_h55,p32571_ub,A0A1D2VP73,53.0,47.0,0.96
p32571_ub_h60,p32571_ub,G0V658,58.06,41.94,0.96
p32571_ub_h65,p32571_ub,A0A376B7S7,60.05,39.95,0.96
p32571_ub_h75,p32571_ub,A0A9P6W896,73.21,26.790000000000006,0.96
