Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p24869_ub,p24869_ub,,100.0,0.0,0.71
p24869_ub_h40,p24869_ub,A0A2T9ZC91,39.31,60.69,0.18
p24869_ub_h45,p24869_ub,A0A8H6SDY0,43.97,56.03,0.46
p24869_ub_h50,p24869_ub,A0AAD9ZDA0,49.66,50.34,0.41
p24869_ub_h55,p24869_ub,A0AAD5SI86,53.79,46.21,0.18
p24869_ub_h60,p24869_ub,A0A1V2KZN9,57.64,42.36,0.29
p24869_ub_h65,p24869_ub,H2AMD7,62.5,37.5,0.36
p24869_ub_h70,p24869_ub,A0A1E5RY45,65.28,34.72,0.46
p24869_ub_h75,p24869_ub,I2H123,70.0,30.0,0.48
p24869_ub_h80,p24869_ub,G0VFA4,79.17,20.83,0.32
p24869_ub_h95,p24869_ub,G8ZX02,90.97,9.030000000000001,0.7
