Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q03407_ub,q03407_ub,,100.0,0.0,0.76
q03407_ub_h35,q03407_ub,A0A817XLX5,33.83,66.17,0.26
q03407_ub_h40,q03407_ub,A0A553P034,38.54,61.46,0.45
q03407_ub_h45,q03407_ub,A0A1B2J8Y5,44.2,55.8,0.36
q03407_ub_h50,q03407_ub,A0A0J9X897,47.67,52.33,0.77
q03407_ub_h55,q03407_ub,W1QBI1,53.88,46.12,0.52
q03407_ub_h60,q03407_ub,A0A1E5R0H8,59.69,40.31,0.69
q03407_ub_h65,q03407_ub,Q6FQB9,64.31,35.69,0.67
q03407_ub_h70,q03407_ub,Q12236,67.98,32.019999999999996,0.52
q03407_ub_h75,q03407_ub,G8C285,73.01,26.989999999999995,0.67
