Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p14682_ub,p14682_ub,,100.0,0.0,0.75
p14682_ub_h35,p14682_ub,A0A1A8UF70,34.15,65.85,0.78
p14682_ub_h40,p14682_ub,A0A0X3PA50,39.2,60.8,0.73
p14682_ub_h45,p14682_ub,A0A9W9XML6,42.05,57.95,0.61
p14682_ub_h50,p14682_ub,A0A8H4EM69,48.72,51.28,0.87
p14682_ub_h55,p14682_ub,UPI0008668D43,51.09,48.91,0.69
p14682_ub_h60,p14682_ub,A0A9P8T1Q2,55.68,44.32,0.41
p14682_ub_h65,p14682_ub,A0A1A0H7T4,64.52,35.480000000000004,0.89
p14682_ub_h70,p14682_ub,A0A1B7T7F0,66.09,33.91,0.87
p14682_ub_h90,p14682_ub,I2H7B2,89.73,10.269999999999996,0.77
