Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q12511_ub,q12511_ub,,100.0,0.0,0.75
q12511_ub_h25,q12511_ub,A0A267DKD7,24.48,75.52,0.29
q12511_ub_h30,q12511_ub,A0AAF0IVP2,29.81,70.19,0.38
q12511_ub_h35,q12511_ub,A0A0L6VU02,33.85,66.15,0.37
q12511_ub_h40,q12511_ub,A0A0E9NFB6,38.58,61.42,0.16
q12511_ub_h45,q12511_ub,A0A167ED17,40.98,59.02,0.19
q12511_ub_h50,q12511_ub,Q5A388,49.36,50.64,0.53
q12511_ub_h55,q12511_ub,A0A376B1V2,52.47,47.53,0.21
q12511_ub_h60,q12511_ub,A0A1G4JE61,55.03,44.97,0.28
q12511_ub_h65,q12511_ub,J7RQ50,60.95,39.05,0.14
