Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p34216_ub,p34216_ub,,100.0,0.0,0.95
p34216_ub_h25,p34216_ub,A0A4S2KXA5,24.55,75.45,0.36
p34216_ub_h30,p34216_ub,A0A420HSP0,28.7,71.3,0.9
p34216_ub_h35,p34216_ub,A0A1B7TKG3,34.71,65.28999999999999,0.84
p34216_ub_h40,p34216_ub,A0A1E3P9S7,39.74,60.26,0.75
p34216_ub_h45,p34216_ub,A0A0X8HS38,43.64,56.36,0.85
p34216_ub_h50,p34216_ub,G8JW11,47.98,52.02,0.76
p34216_ub_h55,p34216_ub,A0A0C7N043,54.19,45.81,0.81
p34216_ub_h60,p34216_ub,I2H612,56.49,43.51,0.85
p34216_ub_h65,p34216_ub,H2APQ8,64.35,35.650000000000006,0.83
