Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p40343_ub,p40343_ub,,100.0,0.0,0.94
p40343_ub_h25,p40343_ub,A0AAV2QUN6,23.97,76.03,0.71
p40343_ub_h30,p40343_ub,A0A7M5XEK1,28.86,71.14,0.57
p40343_ub_h35,p40343_ub,A0A8H7Q2R8,32.39,67.61,0.93
p40343_ub_h40,p40343_ub,Q6BSD6,39.74,60.26,0.94
p40343_ub_h45,p40343_ub,A0A1E4S9B1,44.67,55.33,0.92
p40343_ub_h50,p40343_ub,A0A1E3NUF1,48.23,51.77,0.91
p40343_ub_h55,p40343_ub,A0A376B2C7,51.3,48.7,0.91
p40343_ub_h60,p40343_ub,A0A0C7MUI3,59.73,40.27,0.95
p40343_ub_h65,p40343_ub,H2AWE0,64.33,35.67,0.95
