Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p38856_ub,p38856_ub,,100.0,0.0,0.93
p38856_ub_h25,p38856_ub,UPI0022FDC549,23.6,76.4,0.26
p38856_ub_h30,p38856_ub,A0A1X2HBA7,29.85,70.15,0.44
p38856_ub_h35,p38856_ub,A0A1E4TD15,34.75,65.25,0.2
p38856_ub_h40,p38856_ub,A0A2U9QZY6,39.45,60.55,0.35
p38856_ub_h45,p38856_ub,A0A1E4RTT3,44.09,55.91,0.22
p38856_ub_h50,p38856_ub,Q6FTX5,49.0,51.0,0.15
p38856_ub_h55,p38856_ub,A0A1E5RHA1,52.28,47.72,0.76
p38856_ub_h60,p38856_ub,G8JQL5,56.83,43.17,0.85
p38856_ub_h65,p38856_ub,A0A1Q3A3X1,62.81,37.19,0.82
p38856_ub_h70,p38856_ub,A0A9P6WGH7,69.4,30.599999999999994,0.91
p38856_ub_h75,p38856_ub,G0VDT8,71.17,28.83,0.26
