Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p08004_ub,p08004_ub,,100.0,0.0,0.8
p08004_ub_h30,p08004_ub,Q5BF81,28.8,71.2,0.41
p08004_ub_h35,p08004_ub,A0A9W9F755,33.59,66.41,0.42
p08004_ub_h40,p08004_ub,A0A9N9FAK7,39.74,60.26,0.27
p08004_ub_h45,p08004_ub,UPI0034D00B6C,44.85,55.15,0.21
p08004_ub_h50,p08004_ub,A0A1D8PJ29,49.63,50.37,0.18
p08004_ub_h55,p08004_ub,A0A7D9GXU7,54.21,45.79,0.73
p08004_ub_h60,p08004_ub,A0A1V2LGQ9,57.48,42.52,0.13
p08004_ub_h70,p08004_ub,A0A120K1I5,69.92,30.08,0.25
p08004_ub_h75,p08004_ub,A0A0C7NG15,73.88,26.120000000000005,0.29
