Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p34909_ub,p34909_ub,,100.0,0.0,0.82
p34909_ub_h35,p34909_ub,UPI0018CE8C2C,33.33,66.67,0.13
p34909_ub_h40,p34909_ub,A0A0C3B9N5,39.84,60.16,0.25
p34909_ub_h45,p34909_ub,M5BLN2,41.91,58.09,0.27
p34909_ub_h50,p34909_ub,N1Q4C3,47.97,52.03,0.44
p34909_ub_h55,p34909_ub,A0A5M8PWV6,53.64,46.36,0.49
p34909_ub_h60,p34909_ub,A0A7C8NU81,59.09,40.91,0.64
p34909_ub_h65,p34909_ub,A0A1L0B0V6,64.17,35.83,0.21
p34909_ub_h70,p34909_ub,A0A0J9XHF3,69.3,30.700000000000003,0.56
p34909_ub_h75,p34909_ub,A0A061ALZ1,70.83,29.17,0.52
p34909_ub_h80,p34909_ub,A7TRQ0,76.87,23.129999999999995,0.74
p34909_ub_h85,p34909_ub,Q75AJ1,83.09,16.909999999999997,0.57
