Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p25369_ub,p25369_ub,,100.0,0.0,0.75
p25369_ub_h30,p25369_ub,A0A4V3SIC5,29.81,70.19,0.82
p25369_ub_h35,p25369_ub,X0KKT2,34.83,65.17,0.51
p25369_ub_h40,p25369_ub,A0A9P7V8U6,39.09,60.91,0.94
p25369_ub_h45,p25369_ub,A0A2V1AXJ4,42.98,57.02,0.92
p25369_ub_h50,p25369_ub,C4R935,49.53,50.47,0.92
p25369_ub_h55,p25369_ub,A0A1E3P214,51.82,48.18,0.87
p25369_ub_h60,p25369_ub,A0A109UXS8,55.77,44.23,0.68
p25369_ub_h65,p25369_ub,I2GW00,64.08,35.92,0.9
p25369_ub_h70,p25369_ub,G8ZQR5,67.29,32.709999999999994,0.84
p25369_ub_h75,p25369_ub,A0A1G4MGU3,71.15,28.849999999999994,0.83
