Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p23202_ub,p23202_ub,,100.0,0.0,0.83
p23202_ub_h35,p23202_ub,A0A261Y0T4,33.02,66.97999999999999,0.36
p23202_ub_h40,p23202_ub,A0A1V2LP03,38.66,61.34,0.18
p23202_ub_h45,p23202_ub,A0AAW1P1P0,40.0,60.0,0.12
p23202_ub_h50,p23202_ub,A0A1E3PHZ9,49.52,50.48,0.66
p23202_ub_h55,p23202_ub,A0A642VD52,54.29,45.71,0.18
p23202_ub_h60,p23202_ub,W6MFM4,59.81,40.19,0.58
p23202_ub_h65,p23202_ub,W1QJV9,63.64,36.36,0.22
p23202_ub_h70,p23202_ub,A0A1V2L2Z1,68.87,31.129999999999995,0.69
p23202_ub_h75,p23202_ub,A0A0H5C999,72.32,27.680000000000007,0.19
p23202_ub_h80,p23202_ub,A0AAI9WXF1,75.0,25.0,0.47
p23202_ub_h85,p23202_ub,A0A1E3P9Q7,80.19,19.810000000000002,0.66
p23202_ub_h95,p23202_ub,G0VHY8,92.73,7.269999999999996,0.76
