Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p53962_ub,p53962_ub,,100.0,0.0,0.79
p53962_ub_h25,p53962_ub,A0A8J5T0I2,24.65,75.35,0.2
p53962_ub_h30,p53962_ub,A0AAN8IMA1,28.8,71.2,0.31
p53962_ub_h35,p53962_ub,Q6C5B8,33.75,66.25,0.53
p53962_ub_h40,p53962_ub,A0A5E8CA71,38.72,61.28,0.62
p53962_ub_h45,p53962_ub,A0A871RI85,41.85,58.15,0.37
p53962_ub_h50,p53962_ub,C4R2K7,49.2,50.8,0.36
p53962_ub_h55,p53962_ub,A0A1E3NXE0,51.4,48.6,0.44
p53962_ub_h60,p53962_ub,A0A0W0D724,57.75,42.25,0.38
p53962_ub_h65,p53962_ub,Q75AY8,60.37,39.63,0.9
p53962_ub_h70,p53962_ub,G0VHG8,66.87,33.129999999999995,0.67
