Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p50101_ub,p50101_ub,,100.0,0.0,0.93
p50101_ub_h35,p50101_ub,I7IFG2,33.48,66.52000000000001,0.94
p50101_ub_h40,p50101_ub,A0A7S2L473,39.33,60.67,0.93
p50101_ub_h45,p50101_ub,A0A914NRQ6,44.53,55.47,0.92
p50101_ub_h50,p50101_ub,A0A4P9WZ85,49.1,50.9,0.94
p50101_ub_h55,p50101_ub,B6K4X2,53.08,46.92,0.94
p50101_ub_h60,p50101_ub,UPI0034D00374,59.42,40.58,0.92
p50101_ub_h65,p50101_ub,A0A1B2JD87,63.54,36.46,0.9
p50101_ub_h70,p50101_ub,A0A1E3NZG9,69.41,30.590000000000003,0.93
p50101_ub_h75,p50101_ub,A0A376B6H5,71.0,29.0,0.93
