Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p38996_ub,p38996_ub,,100.0,0.0,0.93
p38996_ub_h30,p38996_ub,A0A1V2LB36,27.97,72.03,0.36
p38996_ub_h35,p38996_ub,A0A9P8QDZ0,31.82,68.18,0.23
p38996_ub_h40,p38996_ub,A0AAV5QTE2,39.47,60.53,0.37
p38996_ub_h50,p38996_ub,A0A1E3P4Z6,47.57,52.43,0.5
p38996_ub_h55,p38996_ub,A0A1E5REN2,53.85,46.15,0.63
p38996_ub_h65,p38996_ub,A0A9P7BCI1,63.64,36.36,0.43
p38996_ub_h70,p38996_ub,G8JP68,68.25,31.75,0.88
p38996_ub_h75,p38996_ub,C5E2G1,73.45,26.549999999999997,0.92
p38996_ub_h80,p38996_ub,A0A7H9BAM3,75.68,24.319999999999993,0.74
