Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q01477_ub,q01477_ub,,100.0,0.0,0.97
q01477_ub_h30,q01477_ub,A0A067SVH5,28.68,71.32,0.93
q01477_ub_h35,q01477_ub,A0A1Y1U9U6,34.78,65.22,0.97
q01477_ub_h40,q01477_ub,UPI0034CD5097,39.23,60.77,0.94
q01477_ub_h45,q01477_ub,A0AAV5QUN0,43.84,56.16,0.95
q01477_ub_h50,q01477_ub,G8YKW9,48.89,51.11,0.96
q01477_ub_h55,q01477_ub,A0A1E4RXR5,54.76,45.24,0.95
q01477_ub_h60,q01477_ub,K0KIC1,57.09,42.91,0.96
q01477_ub_h65,q01477_ub,Q74ZQ9,64.05,35.95,0.97
q01477_ub_h70,q01477_ub,A0A0C7NBY8,67.59,32.41,0.97
q01477_ub_h80,q01477_ub,G8ZLK0,79.92,20.08,0.96
