Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p22515_ub,p22515_ub,,100.0,0.0,0.97
p22515_ub_h35,p22515_ub,A0A1Z5KDA9,34.68,65.32,0.94
p22515_ub_h40,p22515_ub,A0A388LRL9,39.75,60.25,0.94
p22515_ub_h45,p22515_ub,A0ABD0YX96,44.81,55.19,0.91
p22515_ub_h50,p22515_ub,A0A7S0G8M3,49.82,50.18,0.86
p22515_ub_h55,p22515_ub,E0VPA2,53.43,46.57,0.88
p22515_ub_h60,p22515_ub,A0A7R9KZ34,55.03,44.97,0.51
p22515_ub_h65,p22515_ub,A0A8H7R775,62.57,37.43,0.94
p22515_ub_h70,p22515_ub,A0A1Y1ZH83,66.23,33.769999999999996,0.95
p22515_ub_h75,p22515_ub,A0A9W6Z6Z4,73.73,26.269999999999996,0.9
p22515_ub_h80,p22515_ub,A0A9W6SV38,75.75,24.25,0.9
