Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q08960_ub,q08960_ub,,100.0,0.0,0.92
q08960_ub_h25,q08960_ub,A0A7R9LP07,23.94,76.06,0.41
q08960_ub_h30,q08960_ub,A0A9P6SJ62,29.28,70.72,0.22
q08960_ub_h35,q08960_ub,A0A094DQX6,34.81,65.19,0.21
q08960_ub_h40,q08960_ub,A0A0E9NJ67,39.66,60.34,0.22
q08960_ub_h45,q08960_ub,Q6C3V9,44.85,55.15,0.15
q08960_ub_h50,q08960_ub,A0A367XUG0,48.96,51.04,0.21
q08960_ub_h55,q08960_ub,A0A099P6D2,50.54,49.46,0.17
q08960_ub_h60,q08960_ub,F2QV97,57.59,42.41,0.81
q08960_ub_h70,q08960_ub,H2B185,66.67,33.33,0.39
