Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p34222_ub,p34222_ub,,100.0,0.0,0.89
p34222_ub_h35,p34222_ub,A0A0H5QN96,34.06,65.94,0.31
p34222_ub_h40,p34222_ub,A0A1X7UPH5,39.1,60.9,0.21
p34222_ub_h45,p34222_ub,A0A8C8U9T6,43.66,56.34,0.26
p34222_ub_h50,p34222_ub,Q9Y3E5,47.14,52.86,0.75
p34222_ub_h55,p34222_ub,A0A1E3Q4I4,52.14,47.86,0.84
p34222_ub_h60,p34222_ub,A0A9P8TEM2,59.4,40.6,0.89
p34222_ub_h65,p34222_ub,C4XWR5,64.54,35.459999999999994,0.88
p34222_ub_h70,p34222_ub,Q5A9C1,68.15,31.849999999999994,0.9
p34222_ub_h75,p34222_ub,G8JSJ7,72.34,27.659999999999997,0.87
p34222_ub_h90,p34222_ub,G0VFS3,87.86,12.14,0.78
