Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
q12271_ub,q12271_ub,,100.0,0.0,0.78
q12271_ub_h30,q12271_ub,A0A2T9ZAH7,29.61,70.39,0.18
q12271_ub_h35,q12271_ub,A0A5C5G3T4,34.73,65.27000000000001,0.34
q12271_ub_h40,q12271_ub,A0A0D1C6K3,39.96,60.04,0.38
q12271_ub_h45,q12271_ub,A0A0D1YLG1,44.12,55.88,0.44
q12271_ub_h50,q12271_ub,Q6FT79,46.62,53.38,0.22
q12271_ub_h55,q12271_ub,A0A1E3PXU9,51.26,48.74,0.56
q12271_ub_h60,q12271_ub,I2GXX5,59.4,40.6,0.28
q12271_ub_h65,q12271_ub,A0AAN7W450,60.83,39.17,0.34
q12271_ub_h75,q12271_ub,Q6CIW0,72.5,27.5,0.56
q12271_ub_h80,q12271_ub,Q6FXM3,77.44,22.560000000000002,0.53
