Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p38817_ub,p38817_ub,,100.0,0.0,0.92
p38817_ub_h25,p38817_ub,A0A2N1J8J4,22.75,77.25,0.3
p38817_ub_h30,p38817_ub,A0A7N5KR54,29.59,70.41,0.26
p38817_ub_h35,p38817_ub,A0AAN7W6A6,33.93,66.07,0.86
p38817_ub_h45,p38817_ub,A0A1X2GQQ3,43.95,56.05,0.8
p38817_ub_h50,p38817_ub,A0A9W8DXQ0,49.47,50.53,0.63
p38817_ub_h55,p38817_ub,UPI003742A700,54.87,45.13,0.88
p38817_ub_h60,p38817_ub,A0A2T0FNE6,59.13,40.87,0.49
p38817_ub_h65,p38817_ub,A0AAV5RRM2,64.04,35.959999999999994,0.72
p38817_ub_h70,p38817_ub,A0A1E3P6I8,68.47,31.53,0.91
p38817_ub_h75,p38817_ub,B5VGN8,71.71,28.290000000000006,0.85
p38817_ub_h80,p38817_ub,H2AW00,79.51,20.489999999999995,0.9
