Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p33338_ub,p33338_ub,,100.0,0.0,0.84
p33338_ub_h25,p33338_ub,V5HLQ4,24.81,75.19,0.91
p33338_ub_h30,p33338_ub,A0A8B7DII5,28.91,71.09,0.74
p33338_ub_h35,p33338_ub,A0A0D2VX96,34.88,65.12,0.31
p33338_ub_h40,p33338_ub,UPI003343155D,35.36,64.64,0.67
p33338_ub_h45,p33338_ub,A0A139A7Q5,42.55,57.45,0.81
p33338_ub_h50,p33338_ub,A0A367JCT9,49.43,50.57,0.86
p33338_ub_h55,p33338_ub,A0A5E8BL42,54.74,45.26,0.81
p33338_ub_h60,p33338_ub,A0A871RDE2,58.18,41.82,0.87
p33338_ub_h65,p33338_ub,A7TG17,63.41,36.59,0.35
p33338_ub_h70,p33338_ub,A0A1G4JWU5,65.92,34.08,0.74
p33338_ub_h80,p33338_ub,H2APE3,79.31,20.689999999999998,0.76
