Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p38346_ub,p38346_ub,,100.0,0.0,0.93
p38346_ub_h30,p38346_ub,A0A1E3PCC8,29.97,70.03,0.16
p38346_ub_h35,p38346_ub,A0A1E5RZT9,34.06,65.94,0.43
p38346_ub_h40,p38346_ub,W0TCF5,37.55,62.45,0.32
p38346_ub_h45,p38346_ub,G8JVJ4,43.04,56.96,0.38
p38346_ub_h50,p38346_ub,G0V7M8,47.2,52.8,0.48
p38346_ub_h55,p38346_ub,C5E359,52.92,47.08,0.56
p38346_ub_h60,p38346_ub,A0A6C1DU68,56.29,43.71,0.34
p38346_ub_h65,p38346_ub,H2ASR4,61.84,38.16,0.32
p38346_ub_h75,p38346_ub,G0VA96,70.37,29.629999999999995,0.92
