Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p14736_ub,p14736_ub,,100.0,0.0,0.72
p14736_ub_h30,p14736_ub,UPI00350FACB1,27.27,72.73,0.41
p14736_ub_h35,p14736_ub,A0A6G1LHG9,34.91,65.09,0.84
p14736_ub_h40,p14736_ub,A0A099NUE0,36.7,63.3,0.89
p14736_ub_h45,p14736_ub,A0A9P8F3P3,42.45,57.55,0.88
p14736_ub_h50,p14736_ub,A0A9P8Q624,49.56,50.44,0.5
p14736_ub_h55,p14736_ub,A0A0C7MTQ3,50.44,49.56,0.75
p14736_ub_h60,p14736_ub,A0AAN7W4V1,55.46,44.54,0.89
p14736_ub_h65,p14736_ub,A0A376B545,60.75,39.25,0.62
p14736_ub_h75,p14736_ub,H2AQ95,73.21,26.790000000000006,0.8
