Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p35180_ub,p35180_ub,,100.0,0.0,0.83
p35180_ub_h35,p35180_ub,A0A8J5AV32,34.58,65.42,0.25
p35180_ub_h40,p35180_ub,UPI0034CD9434,37.0,63.0,0.23
p35180_ub_h45,p35180_ub,A0A642ULX7,42.62,57.38,0.16
p35180_ub_h50,p35180_ub,A0A1D2VR36,45.87,54.13,0.19
p35180_ub_h55,p35180_ub,A0AAV5RRR5,53.21,46.79,0.56
p35180_ub_h60,p35180_ub,A0AAN7WF88,59.5,40.5,0.24
p35180_ub_h65,p35180_ub,A7TKU8,62.79,37.21,0.37
p35180_ub_h70,p35180_ub,A0AAV5S200,65.14,34.86,0.29
p35180_ub_h75,p35180_ub,A0A7G3ZCS5,71.09,28.909999999999997,0.19
