Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p45978_ub,p45978_ub,,100.0,0.0,0.83
p45978_ub_h35,p45978_ub,A0AAE0PJ89,34.88,65.12,0.16
p45978_ub_h40,p45978_ub,A0A146KVY0,39.78,60.22,0.2
p45978_ub_h45,p45978_ub,A0A077WNQ6,44.16,55.84,0.31
p45978_ub_h50,p45978_ub,W6MTI3,48.84,51.16,0.2
p45978_ub_h55,p45978_ub,A0A1E4U0T6,51.61,48.39,0.15
p45978_ub_h60,p45978_ub,Q5AAR2,56.18,43.82,0.21
p45978_ub_h65,p45978_ub,A0A1E3P9W5,60.26,39.74,0.23
p45978_ub_h70,p45978_ub,R9XE51,69.89,30.11,0.11
p45978_ub_h75,p45978_ub,G8JTY6,73.91,26.090000000000003,0.18
p45978_ub_h80,p45978_ub,A0A1Q3A9C8,79.79,20.209999999999994,0.87
p45978_ub_h85,p45978_ub,G8ZX16,82.02,17.980000000000004,0.19
