Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p53327_ub,p53327_ub,,100.0,0.0,0.74
p53327_ub_h30,p53327_ub,A0A6Q2XD83,28.79,71.21000000000001,0.23
p53327_ub_h35,p53327_ub,A0A7S1QMD7,32.85,67.15,0.25
p53327_ub_h40,p53327_ub,A0A668A9V1,35.48,64.52000000000001,0.83
p53327_ub_h45,p53327_ub,A0A8S9PYN0,44.81,55.19,0.26
p53327_ub_h50,p53327_ub,A0AAD6PLX2,48.98,51.02,0.84
p53327_ub_h55,p53327_ub,A0A6A1VV66,54.45,45.55,0.68
p53327_ub_h60,p53327_ub,A0A507CCM5,58.68,41.32,0.71
p53327_ub_h65,p53327_ub,A0A4Z0A9T7,61.43,38.57,0.5
p53327_ub_h75,p53327_ub,A5DID6,72.09,27.909999999999997,0.75
