Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p39944_ub,p39944_ub,,100.0,0.0,0.95
p39944_ub_h35,p39944_ub,A0A1S3KEP6,33.96,66.03999999999999,0.97
p39944_ub_h40,p39944_ub,A0A1Y2FDM0,38.99,61.01,0.97
p39944_ub_h45,p39944_ub,A0A1E4TAT8,43.93,56.07,0.96
p39944_ub_h50,p39944_ub,A0A1E3PS26,48.73,51.27,0.96
p39944_ub_h55,p39944_ub,A0A1D2VP73,53.01,46.99,0.96
p39944_ub_h60,p39944_ub,A0AAV5QES3,56.0,44.0,0.95
p39944_ub_h65,p39944_ub,G0V658,64.46,35.540000000000006,0.96
p39944_ub_h70,p39944_ub,A0A9P6W896,69.57,30.430000000000007,0.96
p39944_ub_h75,p39944_ub,A7TGY3,72.67,27.33,0.96
