Name:,Complex name:,Uniprot Accession Number:,% Identity:,% Diff:,ipTM:
p38889_ub,p38889_ub,,100.0,0.0,0.76
p38889_ub_h30,p38889_ub,A0A7C4ARM7,28.46,71.53999999999999,0.65
p38889_ub_h35,p38889_ub,A0A3M9XZ42,34.93,65.07,0.73
p38889_ub_h40,p38889_ub,A0A849T209,39.5,60.5,0.21
p38889_ub_h45,p38889_ub,A0A084G6A9,44.78,55.22,0.32
p38889_ub_h50,p38889_ub,A0A1U7LIP5,49.31,50.69,0.32
p38889_ub_h55,p38889_ub,A0A1E5S0L5,54.26,45.74,0.21
p38889_ub_h60,p38889_ub,A0A0C3B9A5,55.3,44.7,0.78
p38889_ub_h70,p38889_ub,A0A9P8PQB3,68.99,31.010000000000005,0.31
p38889_ub_h75,p38889_ub,A0A0X8HV16,73.94,26.060000000000002,0.79
p38889_ub_h80,p38889_ub,A0A376BC63,78.74,21.260000000000005,0.78
p38889_ub_h85,p38889_ub,Q75BF2,82.09,17.909999999999997,0.76
p38889_ub_h90,p38889_ub,J7SB97,88.81,11.189999999999998,0.71
p38889_ub_h95,p38889_ub,A0AAN7WSD2,91.73,8.269999999999996,0.52
